label,Collection_Number,Collector.x,Collector.y,Physaria_a_priori_1,Physaria_a_priori_2,Physaria_a_priori_3,Physaria_a_priori_4,Physaria_recent,Physaria_syn,Taxon,Taxon_a_posteriori,ID_prior,ID_final,Herbarium.x,Herbarium.y,State.x,State.y,County.x,County.y,Date,Date_parsed,Date_md,App.A,Latitude,Longitude
PINTE_43,43,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria integrifolia,NA,NA,NA,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,NA,ISTC,ISTC,Wyoming,Wyoming,Lincoln,Lincoln,06/13/2014,2014-06-13,2019-06-13,NA,42.7258,-110.9094
PINTE_44,44,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria integrifolia,NA,NA,NA,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,Physaria integrifolia,NA,ISTC,ISTC,Wyoming,Wyoming,Lincoln,Lincoln,06/13/2014,2014-06-13,2019-06-13,NA,43.1972,-110.8897
PINTE_68918,68918,B. E. Nelson with D. Scott,B. E. Nelson with D. Scott,Physaria integrifolia var. integrifolia,NA,NA,NA,Physaria integrifolia var. integrifolia,Physaria integrifolia,Physaria integrifolia var. integrifolia,Physaria integrifolia,Physaria integrifolia,NA,NY,NY,Wyoming,Wyoming,Teton,Teton,06/15/2006,2006-06-15,2019-06-15,x,43.7914,-110.533
POBCO_3762,3762,Missing,Missing,Physaria obcordata,NA,NA,NA,Physaria obcordata,Physaria obcordata,Physaria obcordata,Physaria obcordata,Physaria obcordata,NA,NA,ISTC,Unknown,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA
PSAXI_DE_4481,4481,P. Lesica,P. Lesica,Physaria saximontana ssp dentata,NA,NA,NA,Physaria saximontana ssp dentata,Physaria saximontana ssp. dentata,Physaria saximontana ssp dentata,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. dentata,NA,GH,GH,Montana,Montana,Stillwater,Sweetgrass,08/10/1987,1987-08-10,2019-08-10,x,45.4724,-110.0253
PSAXI_DE_56,56,J. Ratcliff & M. Horsch,J. Ratcliff & M. Horsch,Physaria saximontana ssp. dentata,NA,NA,NA,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,Physaria saximontana ssp. dentata,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. dentata,NA,ISTC,ISTC,Montana,Montana,Glacier,Glacier,08/15/2014,2014-08-15,2019-08-15,NA,48.735,-113.3939
PSAXI_DE_79,79,R.S. Wirt,R.S. Wirt,Physaria saximontana ssp dentata,NA,NA,NA,Physaria saximontana ssp dentata,Physaria saximontana ssp. dentata,Physaria saximontana ssp dentata,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. dentata,NA,ISTC,ISTC,Montana,Montana,Pondera,Pondera,08/11/1995,1995-08-11,2019-08-11,x,48.1384,-113.0299
PSAXI_DE_89,89,R.S. Wirt,R.S. Wirt,Physaria saximontana ssp dentata,NA,NA,NA,Physaria saximontana ssp dentata,Physaria saximontana ssp. dentata,Physaria saximontana ssp dentata,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. dentata,NA,ISTC,ISTC,Montana,Montana,Flathead,Flathead,07/10/1996,1996-07-10,2019-07-10,x,47.6906,-113.256
PSAXI_DE_9833,9833,P. Lesica & D. Hanna,P. Lesica & D. Hanna,Physaria saximontana ssp. saximontana,Physaria saximontana ssp dentata,NA,NA,Physaria saximontana ssp dentata,Physaria saximontana ssp. dentata,"Physaria saximontana ssp. saximontana, Physaria saximontana ssp dentata",Physaria saximontana ssp. saximontana,Physaria saximontana ssp. dentata,NA,MONTU,"ISTC, MONTU",Montana,Montana,Fergus,Fergus,07/19/2007,2007-07-19,2019-07-19,x,46.7711,-109.3573
PSAXI_SA_3153,3153,A. Salywon & D. Dierig,A. Salywon & D. Dierig,Physaria saximontana ssp saximontana,NA,NA,NA,Physaria saximontana ssp saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,NA,ISTC,ISTC,Wyoming,Wyoming,Fremont,Fremont,06/26/1996,1996-06-26,2019-06-26,x,42.6131,-108.6056
PSAXI_SA_39,39,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria saximontana ssp. saximontana,NA,NA,NA,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,NA,ISTC,ISTC,Wyoming,Wyoming,Fremont,Fremont,06/11/2014,2014-06-11,2019-06-11,NA,42.6917,-108.1794
PSAXI_SA_50,50,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria saximontana ssp. saximontana,NA,NA,NA,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,NA,Physaria saximontana ssp. saximontana,NA,ISTC,ISTC,Wyoming,Wyoming,Fremont,Hot Springs,06/16/2014,2014-06-16,2019-06-16,NA,43.6986,-108.8783
PSAXI_SA_74315,74315,B.E. Nelson,B.E. Nelson,Physaria saximontana ssp saximontana,NA,NA,NA,Physaria saximontana ssp saximontana,Physaria saximontana ssp. saximontana,Physaria saximontana ssp saximontana,Physaria acutifolia,Physaria saximontana ssp. saximontana,NA,ISTC,ISTC,Montana,Montana,Carbon,Carbon,06/16/2008,2008-06-16,2019-06-16,x,45.0145,-108.2925
PSAXI_SA_9636,9636,P. Lesica with P. Kittelson,P. Lesica with P. Kittelson,Physaria didymocarpa ssp didymocarpa,Physaria saximontana,NA,NA,Physaria saximontana,Physaria saximontana ssp. saximontana,"Physaria didymocarpa ssp didymocarpa, Physaria saximontana",Physaria saximontana ssp. saximontana,Physaria saximontana ssp. saximontana,NA,MONTU,MONTU,Montana,Montana,Madison,Madison,07/17/2006,2006-07-17,2019-07-17,x,45.1967,-111.9552
PVITU_10105,10105,R. Dorn,R. Dorn,Physaria vitulifera,NA,NA,NA,Physaria vitulifera,Physaria vitulifera,Physaria vitulifera,Physaria vitulifera - Carbon,Physaria vitulifera,NA,RM,"[RM], NY",Wyoming,Wyoming,Carbon,Carbon,07/10/2005,2005-07-10,2019-07-10,x,41.0172,-106.8503
PVITU_10105,10105,R. Dorn,R. Dorn,Physaria vitulifera,NA,NA,NA,Physaria vitulifera,Physaria vitulifera,Physaria vitulifera,Physaria vitulifera - Carbon,Physaria vitulifera,NA,RM,"RM, [NY]",Wyoming,Wyoming,Carbon,Carbon,07/10/2005,2005-07-10,2019-07-10,x,41.0172,-106.8503
PVITU_16713,16713,W. Fertig,W. Fertig,Physaria vitulifera,Physaria acutifolia,NA,NA,Physaria acutifolia,Physaria acutifolia,"Physaria vitulifera, Physaria acutifolia",Physaria vitulifera - Carbon,Physaria acutifolia,NA,RM,RM,Wyoming,Wyoming,Carbon,Carbon,06/28/1996,1996-06-28,2019-06-28,x,41.2144,-107.1844
PVITU_19075,19075,W. Fertig & L. Welp,W. Fertig & L. Welp,Physaria vitulifera,Physaria acutifolia,NA,NA,Physaria acutifolia,Physaria acutifolia,"Physaria vitulifera, Physaria acutifolia",Physaria vitulifera - Carbon,Physaria acutifolia,NA,RM,RM,Wyoming,Wyoming,Carbon,Carbon,05/30/2000,2000-05-30,2019-05-30,x,41.3397,-106.5584
